timestamp,location,vehicle_count,average_speed_kmph,traffic_condition,weather
2026-01-01 03:50:00,Begampur,152,21.98,Heavy,Rainy
2026-01-01 03:59:00,Natham Road,67,49.93,Jam,Clear
2026-01-01 04:10:00,SPM Nagar,147,42.59,Jam,Cloudy
2026-01-01 04:22:00,Begampur,126,36.75,Moderate,Rainy
2026-01-01 04:26:00,Natham Road,80,35.72,Jam,Cloudy
2026-01-01 04:42:00,RM Colony,66,27.35,Free Flow,Clear
2026-01-01 04:44:00,RM Colony,84,53.3,Jam,Clear
2026-01-01 05:02:00,Batlagundu Road,31,52.93,Jam,Rainy
2026-01-01 05:12:00,Trichy Road,130,19.48,Heavy,Cloudy
2026-01-01 05:16:00,RM Colony,118,55.9,Jam,Clear
2026-01-01 05:25:00,SPM Nagar,86,37.99,Jam,Clear
2026-01-01 05:27:00,Palani Road,37,19.81,Free Flow,Cloudy
2026-01-01 05:45:00,SPM Nagar,109,61.99,Heavy,Cloudy
2026-01-01 05:50:00,Begampur,90,48.55,Jam,Rainy
2026-01-01 06:15:00,SPM Nagar,43,48.43,Free Flow,Cloudy
2026-01-01 06:15:00,Palani Road,12,17.41,Free Flow,Cloudy
2026-01-01 06:19:00,Begampur,161,69.87,Jam,Clear
2026-01-01 06:24:00,Dindigul Bus Stand,78,18.63,Heavy,Cloudy
2026-01-01 06:24:00,Oddanchatram Road,130,16.88,Moderate,Cloudy
2026-01-01 06:46:00,Natham Road,122,51.77,Jam,Cloudy
2026-01-01 06:50:00,Oddanchatram Road,149,38.02,Heavy,Clear
2026-01-01 06:58:00,RM Colony,132,30.97,Moderate,Rainy
2026-01-01 07:00:00,Trichy Road,132,67.74,Moderate,Clear
2026-01-01 07:18:00,SPM Nagar,121,38.97,Moderate,Rainy
2026-01-01 07:25:00,Trichy Road,35,63.71,Free Flow,Rainy
2026-01-01 08:09:00,Oddanchatram Road,129,24.27,Moderate,Clear
2026-01-01 08:16:00,RM Colony,85,47.32,Free Flow,Cloudy
2026-01-01 08:34:00,Dindigul Bus Stand,14,16.65,Jam,Clear
2026-01-01 08:48:00,Trichy Road,151,17.15,Moderate,Clear
2026-01-01 08:49:00,Natham Road,70,48.71,Jam,Rainy
2026-01-01 09:46:00,Natham Road,17,51.19,Heavy,Cloudy
2026-01-01 09:52:00,Nagalk Nagar,159,58.71,Moderate,Cloudy
2026-01-01 09:57:00,Oddanchatram Road,51,47.8,Jam,Rainy
2026-01-01 10:01:00,Natham Road,125,60.59,Free Flow,Cloudy
2026-01-01 10:04:00,Nagalk Nagar,177,60.82,Moderate,Cloudy
2026-01-01 10:09:00,Trichy Road,12,33.97,Free Flow,Cloudy
2026-01-01 10:19:00,Nagalk Nagar,63,49.87,Free Flow,Clear
2026-01-01 10:48:00,Nagalk Nagar,97,16.05,Free Flow,Cloudy
2026-01-01 11:02:00,Dindigul Bus Stand,22,37.68,Free Flow,Rainy
2026-01-01 11:04:00,Begampur,30,31.92,Moderate,Cloudy
2026-01-01 11:35:00,Trichy Road,174,38.59,Free Flow,Rainy
2026-01-01 11:44:00,Dindigul Bus Stand,51,57.84,Heavy,Rainy
2026-01-01 12:02:00,SPM Nagar,118,42.84,Heavy,Clear
2026-01-01 12:18:00,RM Colony,59,24.57,Jam,Rainy
2026-01-01 12:24:00,Dindigul Bus Stand,91,48.2,Free Flow,Rainy
2026-01-01 12:28:00,Begampur,85,56.66,Moderate,Rainy
2026-01-01 12:32:00,Begampur,129,28.63,Heavy,Rainy
2026-01-01 12:36:00,Batlagundu Road,192,64.45,Free Flow,Clear
2026-01-01 12:39:00,SPM Nagar,108,47.01,Jam,Clear
2026-01-01 12:40:00,RM Colony,35,36.47,Jam,Clear
2026-01-01 12:40:00,Oddanchatram Road,168,67.56,Jam,Cloudy
2026-01-01 12:41:00,Oddanchatram Road,128,23.56,Heavy,Rainy
2026-01-01 12:44:00,Oddanchatram Road,59,28.92,Moderate,Cloudy
2026-01-01 12:47:00,Trichy Road,174,33.67,Moderate,Rainy
2026-01-01 12:56:00,Begampur,15,57.16,Jam,Clear
2026-01-01 13:07:00,Trichy Road,193,48.95,Free Flow,Clear
2026-01-01 13:14:00,Trichy Road,117,64.21,Heavy,Clear
2026-01-01 14:03:00,Begampur,109,15.55,Heavy,Clear
2026-01-01 14:07:00,Dindigul Bus Stand,199,57.73,Free Flow,Clear
2026-01-01 14:19:00,SPM Nagar,164,44.26,Moderate,Cloudy
2026-01-01 14:23:00,SPM Nagar,10,39.45,Free Flow,Cloudy
2026-01-01 14:35:00,Dindigul Bus Stand,82,60.73,Heavy,Rainy
2026-01-01 14:38:00,Trichy Road,153,49.77,Heavy,Rainy
2026-01-01 14:38:00,Trichy Road,35,16.45,Jam,Clear
2026-01-01 14:47:00,Nagalk Nagar,81,41.93,Free Flow,Cloudy
2026-01-01 14:51:00,Dindigul Bus Stand,146,68.64,Jam,Rainy
2026-01-01 14:53:00,Batlagundu Road,21,42.4,Free Flow,Rainy
2026-01-01 15:02:00,Natham Road,112,25.72,Jam,Cloudy
2026-01-01 15:10:00,Begampur,136,52.8,Jam,Rainy
2026-01-01 15:42:00,Begampur,101,60.97,Jam,Cloudy
2026-01-01 15:59:00,Oddanchatram Road,166,20.3,Free Flow,Cloudy
2026-01-01 16:14:00,Dindigul Bus Stand,177,55.5,Jam,Cloudy
2026-01-01 16:49:00,Nagalk Nagar,107,25.2,Heavy,Rainy
2026-01-01 17:04:00,Natham Road,73,21.96,Free Flow,Cloudy
2026-01-01 17:05:00,Batlagundu Road,78,55.03,Free Flow,Cloudy
2026-01-01 17:29:00,Nagalk Nagar,30,60.59,Moderate,Cloudy
2026-01-01 18:08:00,Dindigul Bus Stand,198,50.44,Heavy,Rainy
2026-01-01 18:21:00,RM Colony,189,33.75,Free Flow,Rainy
2026-01-01 18:23:00,Oddanchatram Road,150,55.06,Free Flow,Cloudy
2026-01-01 18:58:00,Palani Road,86,47.79,Free Flow,Cloudy
2026-01-01 19:08:00,Dindigul Bus Stand,16,59.03,Free Flow,Rainy
2026-01-01 19:08:00,Dindigul Bus Stand,190,18.51,Jam,Rainy
2026-01-01 19:10:00,Nagalk Nagar,41,50.88,Moderate,Cloudy
2026-01-01 19:27:00,SPM Nagar,107,61.56,Moderate,Cloudy
2026-01-01 19:29:00,SPM Nagar,60,36.68,Jam,Clear
2026-01-01 19:30:00,Nagalk Nagar,12,56.2,Jam,Cloudy
2026-01-01 19:39:00,Trichy Road,52,35.16,Free Flow,Clear
2026-01-01 19:41:00,Dindigul Bus Stand,107,52.99,Jam,Clear
2026-01-01 19:41:00,Trichy Road,174,61.67,Moderate,Clear
2026-01-01 19:55:00,Nagalk Nagar,103,16.9,Moderate,Rainy
2026-01-01 20:24:00,Palani Road,137,36.87,Free Flow,Cloudy
2026-01-01 21:03:00,RM Colony,138,55.38,Moderate,Rainy
2026-01-01 21:04:00,SPM Nagar,84,53.23,Free Flow,Clear
2026-01-01 21:05:00,RM Colony,152,61.22,Heavy,Clear
2026-01-01 21:47:00,Natham Road,177,34.89,Free Flow,Rainy
2026-01-01 21:51:00,Natham Road,156,19.13,Free Flow,Cloudy
2026-01-01 21:58:00,SPM Nagar,27,56.81,Free Flow,Clear
2026-01-01 22:02:00,Batlagundu Road,162,49.62,Jam,Clear
2026-01-01 22:08:00,Natham Road,36,54.47,Moderate,Rainy
2026-01-01 22:14:00,Palani Road,196,51.28,Moderate,Rainy
2026-01-01 22:28:00,Natham Road,146,20.0,Heavy,Rainy
2026-01-01 22:36:00,Nagalk Nagar,27,69.9,Free Flow,Clear
2026-01-01 22:47:00,Palani Road,71,17.43,Free Flow,Clear
2026-01-01 22:49:00,Dindigul Bus Stand,166,46.41,Heavy,Rainy
2026-01-01 23:14:00,Palani Road,178,50.26,Jam,Rainy
2026-01-01 23:17:00,SPM Nagar,71,15.91,Jam,Clear
2026-01-01 23:21:00,SPM Nagar,190,33.9,Moderate,Rainy
2026-01-01 23:39:00,Batlagundu Road,24,17.8,Free Flow,Clear
2026-01-01 23:51:00,Palani Road,22,40.76,Moderate,Cloudy
2026-01-02 00:06:00,Dindigul Bus Stand,163,42.26,Free Flow,Rainy
2026-01-02 00:40:00,Palani Road,31,21.36,Moderate,Clear
2026-01-02 00:40:00,Nagalk Nagar,179,24.68,Moderate,Clear
2026-01-02 00:47:00,SPM Nagar,86,16.82,Free Flow,Cloudy
2026-01-02 00:50:00,Palani Road,114,51.2,Free Flow,Rainy
2026-01-02 00:58:00,RM Colony,124,64.48,Jam,Rainy
2026-01-02 01:08:00,SPM Nagar,120,50.31,Jam,Rainy
2026-01-02 01:11:00,Begampur,69,35.56,Jam,Clear
2026-01-02 01:17:00,SPM Nagar,91,40.83,Heavy,Clear
2026-01-02 01:18:00,SPM Nagar,160,22.74,Heavy,Cloudy
2026-01-02 01:26:00,Natham Road,119,49.03,Moderate,Cloudy
2026-01-02 01:30:00,Palani Road,120,40.35,Jam,Rainy
2026-01-02 01:35:00,Batlagundu Road,139,16.43,Heavy,Cloudy
2026-01-02 01:52:00,SPM Nagar,129,56.84,Heavy,Cloudy
2026-01-02 01:57:00,Oddanchatram Road,156,47.73,Heavy,Rainy
2026-01-02 02:03:00,Begampur,143,52.7,Jam,Rainy
2026-01-02 02:44:00,Nagalk Nagar,144,69.61,Moderate,Clear
2026-01-02 03:09:00,Natham Road,69,17.53,Free Flow,Rainy
2026-01-02 03:12:00,Natham Road,169,38.53,Jam,Rainy
2026-01-02 03:40:00,Begampur,16,45.44,Moderate,Clear
2026-01-02 04:12:00,RM Colony,41,24.95,Moderate,Clear
2026-01-02 04:20:00,Natham Road,189,41.05,Heavy,Cloudy
2026-01-02 04:23:00,Begampur,46,47.49,Jam,Cloudy
2026-01-02 04:23:00,Palani Road,153,60.94,Free Flow,Rainy
2026-01-02 04:59:00,Trichy Road,67,22.27,Free Flow,Cloudy
2026-01-02 05:01:00,Nagalk Nagar,49,26.07,Jam,Rainy
2026-01-02 05:10:00,Trichy Road,122,37.06,Moderate,Rainy
2026-01-02 05:13:00,Batlagundu Road,80,55.95,Jam,Cloudy
2026-01-02 05:36:00,Palani Road,64,51.67,Moderate,Cloudy
2026-01-02 05:39:00,Nagalk Nagar,67,23.1,Jam,Rainy
2026-01-02 05:52:00,Natham Road,197,43.93,Jam,Cloudy
2026-01-02 05:54:00,Begampur,194,33.31,Jam,Cloudy
2026-01-02 05:59:00,Oddanchatram Road,65,35.89,Free Flow,Cloudy
2026-01-02 06:21:00,Batlagundu Road,106,39.06,Free Flow,Rainy
2026-01-02 06:21:00,Dindigul Bus Stand,13,43.71,Free Flow,Clear
2026-01-02 06:24:00,SPM Nagar,96,36.77,Jam,Rainy
2026-01-02 06:42:00,Batlagundu Road,10,66.45,Free Flow,Clear
2026-01-02 06:54:00,Dindigul Bus Stand,140,51.95,Heavy,Cloudy
2026-01-02 07:09:00,Batlagundu Road,96,65.98,Heavy,Cloudy
2026-01-02 07:45:00,Dindigul Bus Stand,36,50.91,Jam,Cloudy
2026-01-02 07:50:00,Palani Road,126,28.2,Heavy,Cloudy
2026-01-02 08:09:00,Natham Road,137,28.45,Moderate,Cloudy
2026-01-02 08:16:00,Natham Road,22,27.3,Heavy,Clear
2026-01-02 08:23:00,Batlagundu Road,43,28.34,Heavy,Clear
2026-01-02 08:25:00,RM Colony,10,44.97,Jam,Rainy
2026-01-02 08:27:00,Trichy Road,153,59.93,Jam,Rainy
2026-01-02 08:34:00,Palani Road,63,32.78,Free Flow,Cloudy
2026-01-02 08:46:00,Nagalk Nagar,158,56.33,Free Flow,Rainy
2026-01-02 09:08:00,Palani Road,47,35.23,Free Flow,Cloudy
2026-01-02 09:14:00,Dindigul Bus Stand,164,32.25,Moderate,Cloudy
2026-01-02 09:30:00,Nagalk Nagar,56,20.03,Heavy,Clear
2026-01-02 09:36:00,Trichy Road,191,53.11,Jam,Rainy
2026-01-02 09:36:00,RM Colony,163,49.82,Free Flow,Clear
2026-01-02 09:42:00,Palani Road,107,31.58,Free Flow,Clear
2026-01-02 09:42:00,Palani Road,128,49.78,Jam,Rainy
2026-01-02 09:47:00,Trichy Road,36,35.3,Moderate,Cloudy
2026-01-02 09:52:00,Dindigul Bus Stand,166,38.73,Moderate,Cloudy
2026-01-02 09:52:00,Oddanchatram Road,122,36.41,Moderate,Rainy
2026-01-02 10:00:00,SPM Nagar,186,33.32,Moderate,Rainy
2026-01-02 10:05:00,Batlagundu Road,109,41.75,Heavy,Rainy
2026-01-02 10:10:00,Begampur,157,54.29,Moderate,Clear
2026-01-02 10:12:00,Dindigul Bus Stand,138,30.08,Free Flow,Rainy
2026-01-02 10:23:00,RM Colony,105,17.89,Free Flow,Clear
2026-01-02 10:24:00,Begampur,170,41.63,Heavy,Clear
2026-01-02 10:24:00,Trichy Road,39,24.95,Jam,Clear
2026-01-02 10:29:00,Dindigul Bus Stand,26,21.21,Moderate,Clear
2026-01-02 10:32:00,Oddanchatram Road,182,61.56,Heavy,Cloudy
2026-01-02 11:05:00,Nagalk Nagar,112,20.84,Jam,Rainy
2026-01-02 11:18:00,Trichy Road,16,57.51,Heavy,Rainy
2026-01-02 11:32:00,Oddanchatram Road,23,56.23,Moderate,Rainy
2026-01-02 11:45:00,Batlagundu Road,80,45.42,Heavy,Clear
2026-01-02 11:50:00,Oddanchatram Road,35,36.12,Jam,Cloudy
2026-01-02 12:02:00,Dindigul Bus Stand,45,33.33,Jam,Cloudy
2026-01-02 12:05:00,Begampur,136,43.82,Jam,Cloudy
2026-01-02 12:14:00,Batlagundu Road,166,41.8,Jam,Rainy
2026-01-02 12:21:00,RM Colony,69,50.21,Moderate,Cloudy
2026-01-02 12:27:00,Palani Road,72,39.91,Moderate,Clear
2026-01-02 12:29:00,Batlagundu Road,118,37.82,Jam,Cloudy
2026-01-02 12:31:00,RM Colony,104,42.17,Free Flow,Cloudy
2026-01-02 12:37:00,Oddanchatram Road,157,20.63,Moderate,Rainy
2026-01-02 12:40:00,Oddanchatram Road,86,29.4,Heavy,Cloudy
2026-01-02 12:41:00,SPM Nagar,149,63.4,Moderate,Rainy
2026-01-02 12:48:00,Oddanchatram Road,116,30.78,Jam,Cloudy
2026-01-02 12:53:00,Dindigul Bus Stand,77,34.35,Jam,Cloudy
2026-01-02 13:02:00,Nagalk Nagar,169,65.91,Jam,Rainy
2026-01-02 13:05:00,SPM Nagar,62,34.79,Heavy,Cloudy
2026-01-02 13:26:00,RM Colony,199,55.95,Jam,Clear
2026-01-02 13:28:00,Trichy Road,112,21.3,Jam,Clear
2026-01-02 13:37:00,Dindigul Bus Stand,193,29.3,Heavy,Rainy
2026-01-02 13:53:00,Trichy Road,116,44.25,Moderate,Rainy
2026-01-02 14:01:00,Batlagundu Road,68,26.72,Jam,Rainy
2026-01-02 14:07:00,Batlagundu Road,153,50.63,Free Flow,Cloudy
2026-01-02 14:20:00,Trichy Road,148,15.18,Free Flow,Rainy
2026-01-02 14:23:00,Natham Road,77,32.08,Moderate,Rainy
2026-01-02 14:37:00,Oddanchatram Road,97,33.02,Free Flow,Rainy
2026-01-02 14:59:00,RM Colony,44,38.01,Jam,Clear
2026-01-02 15:09:00,SPM Nagar,75,22.37,Jam,Rainy
2026-01-02 15:19:00,Nagalk Nagar,55,39.62,Free Flow,Rainy
2026-01-02 15:21:00,Palani Road,68,23.44,Moderate,Cloudy
2026-01-02 15:35:00,Dindigul Bus Stand,130,17.65,Jam,Clear
2026-01-02 15:36:00,Batlagundu Road,50,60.77,Jam,Rainy
2026-01-02 15:37:00,Palani Road,174,69.81,Moderate,Cloudy
2026-01-02 15:56:00,Begampur,195,53.1,Heavy,Rainy
2026-01-02 16:05:00,Palani Road,27,21.9,Free Flow,Cloudy
2026-01-02 16:41:00,SPM Nagar,145,16.37,Free Flow,Clear
2026-01-02 16:42:00,Batlagundu Road,80,28.0,Moderate,Rainy
2026-01-02 17:06:00,RM Colony,61,24.74,Heavy,Clear
2026-01-02 17:35:00,SPM Nagar,169,55.43,Jam,Clear
2026-01-02 17:37:00,Palani Road,29,24.95,Heavy,Clear
2026-01-02 17:40:00,Oddanchatram Road,66,22.3,Jam,Clear
2026-01-02 17:44:00,Dindigul Bus Stand,117,66.9,Jam,Rainy
2026-01-02 17:55:00,Natham Road,106,41.88,Jam,Cloudy
2026-01-02 18:20:00,RM Colony,182,57.69,Free Flow,Cloudy
2026-01-02 18:23:00,SPM Nagar,52,46.17,Jam,Cloudy
2026-01-02 18:25:00,Oddanchatram Road,103,50.73,Heavy,Rainy
2026-01-02 18:29:00,Natham Road,36,32.55,Free Flow,Rainy
2026-01-02 18:41:00,Trichy Road,66,34.89,Heavy,Cloudy
2026-01-02 18:54:00,Trichy Road,24,55.35,Jam,Cloudy
2026-01-02 18:56:00,Palani Road,18,23.02,Moderate,Clear
2026-01-02 18:58:00,Begampur,15,57.59,Jam,Clear
2026-01-02 18:58:00,Begampur,145,25.97,Jam,Cloudy
2026-01-02 19:03:00,Nagalk Nagar,74,65.24,Jam,Cloudy
2026-01-02 19:11:00,Trichy Road,109,40.02,Free Flow,Cloudy
2026-01-02 19:18:00,Begampur,188,45.59,Moderate,Rainy
2026-01-02 19:34:00,Natham Road,181,27.91,Jam,Cloudy
2026-01-02 19:40:00,Trichy Road,180,36.36,Jam,Rainy
2026-01-02 19:45:00,Palani Road,173,57.61,Moderate,Cloudy
2026-01-02 19:55:00,Dindigul Bus Stand,119,38.54,Heavy,Clear
2026-01-02 19:57:00,Begampur,96,16.66,Heavy,Clear
2026-01-02 20:00:00,Nagalk Nagar,27,55.59,Jam,Clear
2026-01-02 20:05:00,Oddanchatram Road,158,65.14,Heavy,Cloudy
2026-01-02 20:19:00,Begampur,14,39.26,Heavy,Clear
2026-01-02 20:20:00,Batlagundu Road,180,50.22,Jam,Clear
2026-01-02 20:27:00,Nagalk Nagar,13,32.32,Free Flow,Cloudy
2026-01-02 20:28:00,Palani Road,70,64.86,Jam,Clear
2026-01-02 20:39:00,Batlagundu Road,120,33.31,Jam,Clear
2026-01-02 20:41:00,Dindigul Bus Stand,103,16.38,Heavy,Cloudy
2026-01-02 20:46:00,Begampur,31,41.88,Moderate,Clear
2026-01-02 20:47:00,Begampur,101,51.38,Moderate,Clear
2026-01-02 20:49:00,Begampur,62,26.31,Heavy,Clear
2026-01-02 21:04:00,Oddanchatram Road,69,33.84,Heavy,Cloudy
2026-01-02 21:17:00,Dindigul Bus Stand,193,57.04,Moderate,Cloudy
2026-01-02 21:19:00,Batlagundu Road,199,40.71,Moderate,Rainy
2026-01-02 21:19:00,RM Colony,45,32.12,Free Flow,Rainy
2026-01-02 21:23:00,Begampur,161,49.33,Moderate,Rainy
2026-01-02 21:31:00,Dindigul Bus Stand,101,40.26,Free Flow,Rainy
2026-01-02 21:33:00,Trichy Road,195,57.13,Jam,Clear
2026-01-02 21:36:00,Trichy Road,40,49.0,Free Flow,Clear
2026-01-02 21:42:00,Trichy Road,181,54.17,Jam,Clear
2026-01-02 21:49:00,Trichy Road,115,65.1,Moderate,Rainy
2026-01-02 22:04:00,Palani Road,39,66.56,Moderate,Rainy
2026-01-02 22:14:00,SPM Nagar,120,60.3,Heavy,Rainy
2026-01-02 22:30:00,Nagalk Nagar,118,18.06,Free Flow,Cloudy
2026-01-02 22:36:00,SPM Nagar,63,21.03,Heavy,Rainy
2026-01-02 22:38:00,Dindigul Bus Stand,74,56.55,Jam,Cloudy
2026-01-02 22:44:00,Oddanchatram Road,70,50.27,Jam,Cloudy
2026-01-02 22:47:00,SPM Nagar,197,26.68,Jam,Clear
2026-01-02 22:48:00,Begampur,105,51.78,Moderate,Rainy
2026-01-02 22:56:00,Nagalk Nagar,162,50.32,Heavy,Rainy
2026-01-02 23:21:00,SPM Nagar,176,31.16,Moderate,Rainy
2026-01-02 23:24:00,Trichy Road,58,17.06,Heavy,Cloudy
2026-01-02 23:34:00,Batlagundu Road,155,30.95,Heavy,Clear
2026-01-02 23:36:00,Batlagundu Road,180,30.65,Moderate,Clear
2026-01-02 23:38:00,Dindigul Bus Stand,196,32.12,Moderate,Rainy
2026-01-02 23:41:00,RM Colony,19,24.63,Heavy,Cloudy
2026-01-02 23:44:00,Batlagundu Road,35,34.97,Jam,Rainy
2026-01-02 23:45:00,SPM Nagar,154,45.53,Moderate,Cloudy
2026-01-02 23:47:00,Oddanchatram Road,64,64.17,Heavy,Rainy
2026-01-03 00:01:00,Oddanchatram Road,118,53.93,Moderate,Rainy
2026-01-03 00:14:00,Begampur,125,61.39,Jam,Clear
2026-01-03 00:20:00,RM Colony,38,49.75,Heavy,Cloudy
2026-01-03 00:36:00,Nagalk Nagar,74,25.67,Moderate,Cloudy
2026-01-03 00:49:00,SPM Nagar,87,36.17,Jam,Cloudy
2026-01-03 01:07:00,Oddanchatram Road,85,45.33,Free Flow,Clear
2026-01-03 01:08:00,RM Colony,144,60.07,Moderate,Rainy
2026-01-03 01:10:00,Begampur,35,66.35,Moderate,Clear
2026-01-03 01:25:00,Nagalk Nagar,157,31.88,Jam,Cloudy
2026-01-03 01:29:00,Batlagundu Road,10,31.97,Free Flow,Clear
2026-01-03 01:29:00,Palani Road,142,59.5,Moderate,Clear
2026-01-03 01:52:00,Trichy Road,138,18.38,Jam,Rainy
2026-01-03 02:14:00,RM Colony,165,56.38,Free Flow,Cloudy
2026-01-03 02:27:00,Dindigul Bus Stand,59,17.34,Free Flow,Rainy
2026-01-03 02:33:00,RM Colony,10,15.8,Jam,Cloudy
2026-01-03 02:52:00,RM Colony,38,69.88,Moderate,Clear
2026-01-03 02:59:00,Batlagundu Road,32,49.41,Moderate,Clear
2026-01-03 03:02:00,Batlagundu Road,172,31.11,Jam,Rainy
2026-01-03 03:43:00,Nagalk Nagar,13,18.44,Moderate,Rainy
2026-01-03 03:44:00,Batlagundu Road,89,56.5,Heavy,Clear
2026-01-03 04:01:00,SPM Nagar,174,54.95,Free Flow,Clear
2026-01-03 04:03:00,Batlagundu Road,11,16.81,Free Flow,Rainy
2026-01-03 04:08:00,Oddanchatram Road,27,66.69,Free Flow,Cloudy
2026-01-03 04:10:00,Palani Road,143,46.98,Moderate,Clear
2026-01-03 04:14:00,Batlagundu Road,13,56.32,Jam,Clear
2026-01-03 04:24:00,RM Colony,50,55.26,Jam,Cloudy
2026-01-03 04:24:00,Oddanchatram Road,84,25.87,Moderate,Rainy
2026-01-03 04:33:00,RM Colony,57,54.05,Jam,Clear
2026-01-03 04:34:00,Batlagundu Road,112,17.85,Moderate,Rainy
2026-01-03 04:36:00,Oddanchatram Road,21,37.24,Moderate,Cloudy
2026-01-03 04:42:00,Palani Road,83,48.44,Free Flow,Rainy
2026-01-03 04:44:00,Natham Road,46,56.88,Heavy,Cloudy
2026-01-03 04:47:00,Batlagundu Road,147,36.83,Heavy,Cloudy
2026-01-03 04:48:00,RM Colony,123,52.74,Heavy,Rainy
2026-01-03 04:58:00,Oddanchatram Road,125,68.31,Heavy,Rainy
2026-01-03 05:09:00,SPM Nagar,163,20.33,Heavy,Clear
2026-01-03 05:10:00,Nagalk Nagar,60,56.0,Moderate,Rainy
2026-01-03 05:35:00,Dindigul Bus Stand,134,33.91,Heavy,Rainy
2026-01-03 05:36:00,Oddanchatram Road,116,32.32,Jam,Clear
2026-01-03 05:47:00,Nagalk Nagar,14,68.62,Free Flow,Clear
2026-01-03 05:51:00,Palani Road,150,40.24,Free Flow,Rainy
2026-01-03 05:54:00,RM Colony,96,49.69,Free Flow,Rainy
2026-01-03 06:00:00,Oddanchatram Road,146,24.78,Heavy,Clear
2026-01-03 06:08:00,Dindigul Bus Stand,112,27.62,Jam,Cloudy
2026-01-03 06:17:00,Dindigul Bus Stand,104,68.76,Moderate,Rainy
2026-01-03 06:22:00,Palani Road,161,24.11,Heavy,Rainy
2026-01-03 06:39:00,Dindigul Bus Stand,178,64.39,Free Flow,Cloudy
2026-01-03 06:48:00,Oddanchatram Road,12,35.12,Jam,Cloudy
2026-01-03 06:52:00,Palani Road,38,66.42,Jam,Clear
2026-01-03 07:17:00,Begampur,103,61.58,Jam,Rainy
2026-01-03 07:19:00,Palani Road,164,46.63,Moderate,Clear
2026-01-03 07:22:00,Oddanchatram Road,181,16.02,Jam,Clear
2026-01-03 07:29:00,Nagalk Nagar,181,41.55,Moderate,Clear
2026-01-03 07:44:00,Oddanchatram Road,42,34.29,Free Flow,Clear
2026-01-03 07:46:00,Nagalk Nagar,29,29.59,Jam,Rainy
2026-01-03 07:48:00,Natham Road,83,27.46,Jam,Rainy
2026-01-03 07:52:00,Trichy Road,12,47.42,Free Flow,Clear
2026-01-03 07:58:00,Batlagundu Road,144,55.94,Jam,Cloudy
2026-01-03 07:59:00,Nagalk Nagar,32,42.45,Heavy,Rainy
2026-01-03 08:05:00,Trichy Road,121,27.53,Jam,Cloudy
2026-01-03 08:08:00,Trichy Road,199,50.64,Heavy,Cloudy
2026-01-03 08:14:00,Begampur,33,58.85,Heavy,Rainy
2026-01-03 08:18:00,Trichy Road,110,38.55,Free Flow,Rainy
2026-01-03 08:19:00,Natham Road,29,47.73,Free Flow,Cloudy
2026-01-03 08:21:00,Nagalk Nagar,139,55.83,Moderate,Cloudy
2026-01-03 08:28:00,Dindigul Bus Stand,147,21.62,Heavy,Rainy
2026-01-03 08:50:00,Natham Road,172,28.74,Heavy,Clear
2026-01-03 08:55:00,Dindigul Bus Stand,31,64.63,Free Flow,Cloudy
2026-01-03 09:04:00,SPM Nagar,22,15.71,Jam,Rainy
2026-01-03 09:32:00,Oddanchatram Road,77,55.6,Moderate,Cloudy
2026-01-03 09:35:00,Batlagundu Road,159,52.0,Jam,Cloudy
2026-01-03 09:48:00,Begampur,180,22.0,Jam,Cloudy
